source,target,value
Dork Tower,Nur Peanuts,0
Dork Tower,Hepta,1
Snake Pit,Lucky Captain,0
Snake Pit,Alien Wars,0
Snake Pit,Full Moon Jacket,1
Dork Tower,Crystal Faire,1
Buffy the Vampire Slayer,Twixt,1
Buffy the Vampire Slayer,Hepta,1
Abduction,Leipzig,0
Dork Tower,Astro Drive,0
Abduction,Snake Pit,0
Histrio,Guardians Call,1
Abduction,Showdown Yahtzee,1
Histrio,Formissimo,0
Abduction,Isolation,1
Dork Tower,The Circle,1
Fourth Dimension,Witty Pong,0
Fourth Dimension,Lumberjack,1
Fourth Dimension,Guildes,0
Histrio,Shabadabada,1
Fourth Dimension,Minotaur Lords,1
Fourth Dimension,New Mastermind,1
Histrio,Mukden,0
Fourth Dimension,Buffy the Vampire Slayer,1
Fourth Dimension,ElemenZ,0
Fourth Dimension,Space Pioneers,1
Fourth Dimension,Alien Wars,1
Fourth Dimension,Bookmaker,0
Escape from New York,Nur Peanuts,0
Histrio,Abduction,1
Escape from New York,Tyranid Attack,1
Histrio,Merchants of Muziris,0
Histrio,Tataraba and Forest,1
